TIMESTAMP,DELTA_ACTION,DIFFERENCES,SERV_ACC_PT_ID,ACCOUNT_ID,SERVICE_ACCOUNT_ID,CUST_ID,CUST_NAME,SITE_ID,LOC_ID,ADDRESS,CITY,STATE_ABBR,ZIP,COUNTRY_NAME,BUILDING,ROOM,FLOOR,SERV_ID,PORT_STATE,SERV_NAME,CKT_ID,ACC_CKT,IOC1,MCN
2024-11-13T16:41:52.802558,added,,6855770,452279,639784,841457,QGR2ORCN,5089251,0543361,3943 Market St,Los Angeles,TN,90250,USA,MIS,8,29,8267494,PEND ADD,OPT-E-MAN,6915076,4P0KHBKX,VLPFAKDK,N21P83YM
2024-11-13T16:41:52.802558,added,,4831047,265068,721535,178935,8HIWFDWA,2338746,4042495,5317 Market St,New York,TN,37175,USA,MIS,3,13,7813272,ACTIVE,NB-IPVPN,4726201,Y2GOMEPK,WJHLPWAI,4T1FKNWT
2024-11-13T16:41:52.802558,added,,9785625,822442,732152,967613,0B2JRUGJ,2867182,1205326,4726 1st Ave,Dallas,GA,07401,USA,RTA,8,47,5501608,ACTIVE,MIS,7220592,C2YTY69I,E71GKNCE,MTZPV7DQ
2024-11-13T16:41:52.802558,added,,8407556,710651,057412,049256,11PH6E20,6652235,1720708,8197 Broadway,Dallas,GA,37877,USA,TELCO,9,47,6843309,PEND ADD,MIS,7034087,9CCGNTDG,Y8SXNNEL,IRL9WJ6Z
2024-11-13T16:41:52.802558,added,,2646757,436180,281122,611129,RVSSR1YJ,4287287,2601225,3697 Market St,Atlanta,GA,38764,USA,DMARC,3,34,0219006,ACTIVE,NB-IPVPN,3159653,B9XNJHZP,RZWA02IV,8PFH6AIX
2024-11-13T16:41:52.802558,deleted,,5993676,437965,730882,748829,99W7PLGC,9546693,4709651,9340 Market St,Nashville,NY,62372,USA,MIS,9,47,0394547,PEND ADD,NB-IPVPN,0177524,EBJ2Q41Y,DSHZB5BS,VOE9E7SH
2024-11-13T16:41:52.802558,deleted,,9876154,659827,000762,183649,F6E02SRO,6279225,9961725,6617 5th Ave,Nashville,GA,95166,USA,TELCO,8,30,1344508,PEND ADD,MIS,7491120,WAS1U814,4XQ2IIQ8,GH8APH2L
2024-11-13T16:41:52.802558,modified,"{'IOC1': (nan, nan), 'CKT_ID': (nan, nan)}",5871641,847271,106672,630207,H1H4KLBL,7100688,4460540,3547 1st Ave,Atlanta,GA,26618,USA,DMARC,3,30,5327268,PEND ADD,NB-IPVPN,7699744,O72HVCUG,Z31VQA7C,R75R4BTK
2024-11-13T16:41:52.802558,modified,"{'CUST_NAME': (nan, 'O2MXCDKR'), 'CKT_ID': (nan, nan), 'SERV_ID': (nan, '9UOBCXLB')}",5989131,936119,785690,162649,9JJJRAC8,3195379,5919890,9420 Main St,New York,NY,01934,USA,RTA,8,6,3608424,ACTIVE,OPT-E-MAN,0932852,4ZE1OO8Z,WBTA8254,5HD9P7UX
2024-11-13T16:41:52.802558,modified,"{'SITE_ID': (nan, nan), 'ZIP': (nan, 'V89EBGYF'), 'SERV_ID': (nan, 'L8S4NTFA')}",4248829,244144,383296,589902,0IM5R6EC,4222195,3032775,1662 Broadway,Los Angeles,TN,27013,USA,RTA,1,34,1920199,ACTIVE,MIS,0022550,R8DSYM2V,EXZMAAAT,V9NBMPZO
2024-11-13T16:41:52.802558,modified,"{'ACC_CKT': (nan, 'SUPJBYJO'), 'PORT_STATE': (nan, nan), 'CITY': (nan, 'DGQKKITC')}",7581098,487314,570765,188322,FB92ESOE,9065030,7899901,614 Main St,Los Angeles,TX,91949,USA,RTA,7,24,1035879,ACTIVE,OPT-E-MAN,3213680,NHQCDWAX,2RC2EVHM,4O94Q3R0
2024-11-13T16:41:52.802558,modified,"{'COUNTRY_NAME': (nan, '8RY9F03C')}",6684235,946437,242286,391281,PTJ5TKS9,4874343,2608480,7296 1st Ave,Los Angeles,NY,89965,USA,MIS,4,31,1392844,PEND ADD,MIS,7853935,56J5R9BH,VAVXEALV,4RFJXP44
2024-11-13T16:41:52.802558,modified,"{'SERV_NAME': (nan, nan), 'CUST_NAME': (nan, nan)}",9400707,769067,734094,472803,ZZJJ3Q1N,8906841,5122480,9626 Main St,Nashville,TX,54487,USA,DMARC,5,25,2821857,PEND ADD,OPT-E-MAN,0793982,JJ5EOSZ4,I5EW0JDF,ZI4OXHEV
2024-11-13T22:41:52.802558,added,,1610880,767270,076021,860738,EQXYI0LR,0840533,5409753,2915 Market St,Dallas,GA,74534,USA,RTA,8,5,5329167,PEND ADD,NB-IPVPN,4055476,4HIOD1E2,THOWP14G,T3ZDC838
2024-11-13T22:41:52.802558,added,,4027383,358061,159430,698159,963I06EA,9509324,8449847,7520 Main St,Atlanta,TX,19805,USA,MIS,9,48,1255893,PEND ADD,NB-IPVPN,5908576,I2UDJNGZ,28FQFNTR,EM4HHNQQ
2024-11-13T22:41:52.802558,added,,2353794,452880,522268,490534,AKZACDDT,7917441,3405853,3878 5th Ave,Atlanta,CA,00918,USA,RTA,10,7,8835357,PEND ADD,NB-IPVPN,9162133,ML9P4SP4,53B0FWNY,IWBWDJNU
2024-11-13T22:41:52.802558,added,,9505424,518844,811916,266388,O0MZ617G,8485548,5950630,3729 Market St,Los Angeles,TX,07697,USA,TELCO,2,28,5402714,ACTIVE,MIS,0147570,IINXI6LG,96AN82N0,TMOKV4CN
